covariate,coef,exp(coef),se(coef),p
grade_G,0.9089930979314303,2.481822322831783,0.015439853837679237,0.0
grade_F,0.7585877544926483,2.1352585808365125,0.008786422200339865,0.0
grade_E,0.5438411998707324,1.7226110634302312,0.005597285604676132,0.0
grade_D,0.3425377547892998,1.4085175309409799,0.004202475542597098,0.0
purpose_small_business,0.1720731604196157,1.187764727401121,0.013767465159877056,7.603859124094375e-36
verification_status_Verified,0.13637679128358465,1.1461136578835311,0.003401253228741894,0.0
grade_C,0.11470621019365415,1.1215438910030513,0.0034634359255353788,1.5731275794022753e-240
home_ownership_RENT,0.11227891970262198,1.1188248794315858,0.0031615497831937625,3.0009149983022082e-276
inq_last_6mths,0.09690067766383405,1.1017509397092797,0.0016044714834971808,0.0
term_ 60 months,0.08254603971701158,1.086048673661646,0.003322978520599492,3.2366965636447e-136
purpose_moving,0.07947503921599731,1.082718533688692,0.017507657741048233,5.6402645173743055e-06
purpose_medical,0.06704308678448159,1.0693415516709877,0.013666335578509343,9.308971462176617e-07
purpose_house,0.06105339286888074,1.0629556669246363,0.019576756502089773,0.0018167089168278216
verification_status_Source Verified,0.057164641899277384,1.0588301238480597,0.0031754704466756436,1.8809842258442928e-72
collections_12_mths_ex_med,0.051624672943026285,1.052980456281489,0.00883602957860382,5.141724142996546e-09
home_ownership_OWN,0.04707404455611469,1.0481996196818577,0.004750380615598209,3.7841787580207686e-23
purpose_debt_consolidation,0.04281191537007059,1.0437415646419164,0.0033852609041831417,1.1687685951306434e-36
pub_rec,0.03592191870066939,1.036574906215473,0.002108651247612897,4.4793215927500346e-65
purpose_vacation,0.017986306974898586,1.0181490347540525,0.0182680792640829,0.3248325294539456
purpose_major_purchase,0.012548183002971001,1.0126272417865942,0.01046640304397371,0.23056637127163238
purpose_other,0.009592351538498507,1.009638505599803,0.00636450995089671,0.1317689771718403
delinq_2yrs,0.005509937273198667,1.0055251448957618,0.0016126232740804483,0.0006337247956316531
dti,0.0032053240247309125,1.0032104665688215,9.905682074144832e-05,1.0555921458590172e-229
open_acc,0.0027475811787034386,1.0027513592392538,0.0002807431748289756,1.2827440240815528e-22
total_acc,0.0022024179846045423,1.0022048450885994,0.00013613952401483927,7.250600096033286e-59
loan_amnt,2.297600664696137e-06,1.0000022976033043,1.7281419028200803e-07,2.4678486227540056e-40
annual_inc,-6.326481717756726e-07,0.9999993673520283,2.4113648770821185e-08,1.0298617492115548e-151
mo_sin_old_rev_tl_op,-0.0004425037016245606,0.9995575941886989,1.767641946458057e-05,2.6368620803809184e-138
revol_util,-0.00044303967308067003,0.9995570584545033,6.398528163722381e-05,4.38795404817836e-12
acc_now_delinq,-0.0011699973910555518,0.9988306867890363,0.018201427337945837,0.9487468564155987
emp_length_numeric,-0.003132550517147624,0.9968723508000134,0.000412896012335892,3.27957448113013e-14
credit_history_years,-0.003139024161689304,0.9968658974236493,0.00022295783494255645,5.1125544320810486e-45
fico_range_low,-0.003334437391782433,0.9966711156707496,5.0753714002704624e-05,0.0
purpose_home_improvement,-0.003415861824594655,0.9965899655943001,0.006275651384686438,0.586232330647654
mort_acc,-0.021897572803892026,0.9783404385873024,0.0008346802290590046,1.068955099256661e-151
home_ownership_OTHER,-0.04078028876710756,0.9600400383579308,0.07973877164007397,0.6090544808305449
purpose_credit_card,-0.07333559812307426,0.9292889100748304,0.0038987179007782986,6.232198949799747e-79
grade_B,-0.13617945553765964,0.8726860100986117,0.003585583613129001,0.0
purpose_wedding,-0.261050464372662,0.7702420488524998,0.07736577484103999,0.0007402059411641815
