term_months,horizon,survival,n,is_mature,issue_quarter
36,12,0.9269832898993775,190,True,2007Q3
36,24,0.8109504750512313,190,True,2007Q3
36,36,0.7579070469897399,190,True,2007Q3
36,12,0.8842609779268616,389,True,2007Q4
36,24,0.734551351247558,389,True,2007Q4
36,36,0.6675478098379194,389,True,2007Q4
36,12,0.8946483945083332,1011,True,2008Q1
36,24,0.7963782397103252,1011,True,2008Q1
36,36,0.7399042282559651,1011,True,2008Q1
36,12,0.903094020752415,498,True,2008Q2
36,24,0.8061173539884807,498,True,2008Q2
36,36,0.7483909861714014,498,True,2008Q2
36,12,0.9233182134340037,298,True,2008Q3
36,24,0.8339532536282783,298,True,2008Q3
36,36,0.8005112030739329,298,True,2008Q3
36,12,0.9181437761264587,583,True,2008Q4
36,24,0.8399403366632869,583,True,2008Q4
36,36,0.7992179859571608,583,True,2008Q4
36,12,0.937139734548822,895,True,2009Q1
36,24,0.8759934270058349,895,True,2009Q1
36,36,0.8364784050499318,895,True,2009Q1
36,12,0.9392495215155846,1094,True,2009Q2
36,24,0.8738610107347509,1094,True,2009Q2
36,36,0.8331077699932897,1094,True,2009Q2
36,12,0.9478828886317898,1361,True,2009Q3
36,24,0.8843563145398539,1361,True,2009Q3
36,36,0.846364312340853,1361,True,2009Q3
36,12,0.9323710801594232,1915,True,2009Q4
36,24,0.8798934613388036,1915,True,2009Q4
36,36,0.8294710744133997,1915,True,2009Q4
36,12,0.9519913877233905,2162,True,2010Q1
36,24,0.9048571000727159,2162,True,2010Q1
36,36,0.8587335160178518,2162,True,2010Q1
36,12,0.9491298856776081,2353,True,2010Q2
36,24,0.9023580972623862,2353,True,2010Q2
36,36,0.8545187276244152,2353,True,2010Q2
36,12,0.9614079420560848,2229,True,2010Q3
36,24,0.914994506898214,2229,True,2010Q3
36,36,0.8706946453839796,2229,True,2010Q3
36,12,0.9609003353742138,2390,True,2010Q4
36,24,0.9174885265745484,2390,True,2010Q4
36,36,0.8759276272219091,2390,True,2010Q4
36,12,0.9655172251664127,2614,True,2011Q1
36,24,0.923887114198961,2614,True,2011Q1
36,36,0.8826569493449594,2614,True,2011Q1
36,12,0.9610993597247465,3154,True,2011Q2
36,24,0.9064909890612517,3154,True,2011Q2
36,36,0.8669795595440739,3154,True,2011Q2
36,12,0.9581375509859812,3945,True,2011Q3
36,24,0.9079652063443173,3945,True,2011Q3
36,36,0.8655342430802517,3945,True,2011Q3
36,12,0.9549623449584987,4364,True,2011Q4
36,24,0.8977463095670855,4364,True,2011Q4
36,36,0.8547092272769106,4364,True,2011Q4
36,12,0.9490970185566477,6484,True,2012Q1
36,24,0.8851131875258893,6484,True,2012Q1
36,36,0.8354545124491626,6484,True,2012Q1
36,12,0.9455142163429063,8464,True,2012Q2
36,24,0.8753674968007039,8464,True,2012Q2
36,36,0.8209847626774885,8464,True,2012Q2
36,12,0.9420663956966847,13312,True,2012Q3
36,24,0.8733798180222415,13312,True,2012Q3
36,36,0.820308196563735,13312,True,2012Q3
36,12,0.9514826957380335,15158,True,2012Q4
36,24,0.887505288880767,15158,True,2012Q4
36,36,0.8338658318494993,15158,True,2012Q4
36,12,0.9551047244837226,17974,True,2013Q1
36,24,0.8852296841017867,17974,True,2013Q1
36,36,0.8344484514001141,17974,True,2013Q1
36,12,0.9540302999688782,23120,True,2013Q2
36,24,0.8837256672965816,23120,True,2013Q2
36,36,0.8266318031717579,23120,True,2013Q2
36,12,0.9549168098484954,27287,True,2013Q3
36,24,0.8861850899529921,27287,True,2013Q3
36,36,0.8352118830629155,27287,True,2013Q3
36,12,0.957877079005678,31959,True,2013Q4
36,24,0.8888950641108242,31959,True,2013Q4
36,36,0.8325477109344595,31959,True,2013Q4
36,12,0.9570372300081543,34053,True,2014Q1
36,24,0.8807883269512514,34053,True,2014Q1
36,36,0.8205992731776955,34053,True,2014Q1
36,12,0.9516573041735763,37863,True,2014Q2
36,24,0.875307134865842,37863,True,2014Q2
36,36,0.8088843670009215,37863,True,2014Q2
36,12,0.9486098956933638,40568,True,2014Q3
36,24,0.8690205134784004,40568,True,2014Q3
36,36,0.8090212100968128,40568,True,2014Q3
